load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
0.460,1.034,0.140
0.580,0.921,0.049
0.690,0.946,0.048
0.800,1.033,0.056
0.900,1.149,0.054
0.900,1.171,0.059
0.980,1.083,0.057
1.070,1.311,0.078
1.140,1.115,0.055
1.210,1.128,0.056
1.210,1.183,0.056
1.270,1.127,0.056
1.330,1.116,0.057
1.390,1.171,0.055
1.430,1.161,0.056
1.430,1.032,0.057
1.480,1.173,0.070
1.600,1.069,0.066
1.710,1.146,0.069
1.710,1.030,0.069
1.820,1.124,0.064
1.820,1.057,0.067
1.910,0.906,0.068
1.910,1.061,0.068
1.910,1.000,0.067
2.000,1.031,0.067
2.000,0.915,0.060
2.080,0.995,0.069
2.080,1.021,0.070
2.080,0.974,0.067
2.150,1.073,0.067
2.150,0.995,0.068
2.220,1.068,0.070
2.220,1.114,0.072
2.280,1.153,0.072
2.280,1.158,0.073
2.280,1.111,0.071
2.340,1.163,0.075
2.340,1.063,0.074
2.390,1.168,0.073
2.390,1.053,0.072
2.390,1.050,0.074
2.520,1.022,0.068
2.520,1.055,0.066
2.640,1.105,0.081
2.640,1.076,0.077
2.640,1.064,0.074
2.750,1.042,0.068
2.750,1.112,0.080
2.850,1.061,0.076
2.850,1.044,0.069
2.940,1.038,0.068
2.940,1.074,0.068
2.940,1.042,0.068
3.030,1.050,0.068
3.030,1.029,0.069
3.110,1.071,0.069
3.110,1.022,0.066
3.110,1.046,0.068
3.180,1.025,0.067
3.180,1.034,0.067
3.240,1.033,0.066
3.240,1.026,0.070
3.240,1.037,0.066
3.300,1.080,0.070
3.300,1.026,0.068
3.360,1.032,0.081
3.360,1.067,0.068
3.410,1.034,0.068
3.410,1.048,0.069
3.410,1.031,0.069
3.460,1.031,0.069
3.460,1.025,0.069
3.580,1.016,0.068
3.580,1.028,0.068
3.580,1.023,0.067
3.700,1.080,0.071
3.700,1.063,0.070
3.800,1.092,0.068
3.800,1.064,0.068
3.900,1.108,0.079
3.900,1.105,0.068
3.900,1.047,0.067
3.990,1.073,0.077
3.990,1.055,0.068
4.070,1.058,0.068
4.070,1.068,0.075
4.070,1.106,0.075
4.140,1.120,0.079
4.140,1.096,0.078
4.210,1.103,0.075
4.210,1.067,0.074
4.210,1.165,0.079
4.270,1.035,0.066
4.270,1.083,0.077
4.330,1.063,0.074
4.330,1.256,0.068
4.390,1.047,0.067
4.390,1.048,0.075
4.390,1.030,0.068
4.440,1.300,0.068
4.440,1.083,0.068
4.560,1.114,0.076
4.560,1.162,0.078
4.560,1.156,0.071
4.680,1.141,0.070
4.680,1.099,0.068
4.860,1.106,0.075
4.860,1.195,0.080
4.860,1.161,0.070
4.950,1.105,0.076
4.950,1.110,0.074
5.040,1.113,0.069
5.040,1.176,0.078
5.120,1.160,0.070
5.120,1.205,0.069
5.120,1.082,0.069
5.190,1.088,0.069
5.190,1.138,0.069
5.250,1.089,0.068
5.250,1.096,0.067
5.250,1.110,0.068
5.310,1.086,0.069
5.310,1.128,0.068
5.370,1.132,0.070
5.370,1.134,0.068
5.420,1.131,0.069
5.420,1.092,0.068
5.420,1.084,0.067
5.460,1.168,0.085
5.460,1.198,0.079
5.590,1.121,0.080
5.590,1.198,0.079
5.590,1.132,0.081
5.700,1.171,0.083
5.700,1.169,0.082
5.810,1.180,0.082
5.810,1.182,0.086
5.810,1.252,0.080
5.900,1.200,0.103
5.900,1.280,0.099
5.990,1.175,0.089
5.990,29.522,0.095
6.070,1.194,0.102
6.070,1.268,0.121
6.070,1.190,0.099
6.150,1.195,0.099
6.150,1.198,0.099
6.210,1.171,0.082
6.210,1.231,0.084
6.210,1.226,0.083
6.280,1.246,0.079
6.280,1.234,0.082
6.340,1.208,0.104
6.340,1.184,0.100
6.390,1.178,0.081
6.390,1.171,0.082
6.390,1.188,0.083
6.440,21.436,0.083
6.440,14.669,0.084
6.560,22.832,0.084
6.560,14.970,0.084
6.560,21.875,0.082
6.760,15.962,1.501
6.760,22.568,0.081
6.860,18.345,0.083
6.860,15.641,0.081
6.950,22.268,0.083
6.950,21.918,0.081
6.950,22.608,0.080
7.110,22.569,0.085
7.110,25.914,0.081
7.190,14.173,0.081
7.190,22.193,0.083
7.250,16.647,0.083
7.250,22.215,0.084
7.250,22.395,0.082
7.310,18.863,0.085
7.310,18.849,0.083
7.370,17.562,0.080
7.370,14.298,0.082
7.420,13.560,0.081
7.420,23.263,0.082
7.420,23.457,0.083
7.460,22.115,0.083
7.460,14.650,0.081
7.510,38.210,15.370
7.510,14.164,0.076
7.630,21.985,0.087
7.630,19.197,0.089
7.630,27.426,0.081
7.740,18.106,0.084
7.740,22.399,0.087
7.840,22.565,0.104
7.840,24.952,0.103
7.930,22.588,0.083
7.930,29.772,7.376
7.930,37.419,15.384
8.100,22.084,0.083
8.100,21.946,0.090
8.170,22.841,0.081
8.170,22.009,0.080
8.240,22.671,0.078
8.240,22.565,0.080
8.240,21.926,0.087
8.300,22.652,0.116
8.300,22.543,0.104
8.350,21.908,0.087
8.350,21.862,0.084
8.410,22.015,0.083
8.410,21.848,0.082
8.410,19.375,0.081
8.450,22.185,0.085
8.450,22.643,0.118
8.500,1.007,0.058
8.500,0.993,0.054
7.900,0.888,0.054
7.900,1.162,0.053
7.900,0.904,0.053
7.350,0.957,0.054
7.350,0.874,0.054
6.840,0.957,0.050
6.840,0.950,0.051
6.840,0.943,0.051
6.370,0.918,0.050
6.370,0.976,0.049
5.940,0.944,0.050
5.940,0.949,0.053
5.940,1.030,0.054
5.540,0.948,0.052
5.540,0.960,0.052
5.180,0.961,0.051
5.180,0.948,0.051
4.840,0.935,0.052
4.840,0.972,0.054
4.840,1.215,0.051
4.540,0.904,0.051
4.540,1.260,0.050
4.250,1.202,0.051
4.250,0.967,0.050
4.250,0.819,0.051
3.990,0.930,0.051
3.990,0.887,0.048
3.750,0.914,0.051
3.750,1.021,0.051
3.750,0.769,0.050
3.530,0.883,0.050
3.530,0.932,0.053
3.330,0.980,0.054
3.330,0.939,0.056
3.140,0.945,0.053
3.140,0.903,0.051
3.140,0.973,0.050
2.970,0.938,0.050
2.970,0.926,0.048
2.810,0.929,0.049
2.810,0.973,0.049
2.810,0.968,0.047
2.670,0.933,0.046
2.670,0.856,0.048
2.530,0.936,0.047
2.530,0.959,0.049
2.530,1.037,0.045
